id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
546734,M,37,27-02-20,11:23:00 AM
546693,OTRO,26,27-02-20,11:23:00 AM
546655,OTRO,38,10-09-20,2:56:00 PM
546471,OTRO,40,13-09-20,3:40:00 PM
546235,OTRO,32,17-09-20,2:56:00 PM
546147,OTRO,21,03-10-20,1:11:00 PM
546122,F,23,22-09-20,10:37:00 AM
545823,F,20,22-09-20,7:07:00 PM
545719,F,44,25-09-20,7:57:00 PM
545613,M,22,21-09-20,11:16:00 AM
545377,F,33,03-10-20,3:05:00 AM
545290,F,33,26-09-20,3:42:00 PM
545185,F,19,28-09-20,10:33:00 AM
545163,OTRO,41,27-02-20,11:23:00 AM
545148,F,22,30-09-20,6:31:00 PM
544964,F,33,09-10-20,9:26:00 AM
544813,M,32,05-10-19,2:34:00 PM
544777,F,27,27-02-20,11:23:00 AM
544761,M,50,12-03-20,9:26:00 PM
544646,F,41,20-09-20,2:42:00 PM
544638,F,35,27-02-20,11:23:00 AM
544500,OTRO,22,04-10-20,10:53:00 AM
544043,M,27,27-02-20,11:23:00 AM
543743,F,22,02-10-20,10:55:00 AM
543640,OTRO,44,24-09-20,9:22:00 AM
543582,OTRO,55,28-09-20,12:57:00 AM
543512,OTRO,45,04-10-19,3:06:00 PM
543509,OTRO,32,27-02-20,11:23:00 AM
543206,OTRO,31,04-10-19,7:34:00 AM
543201,OTRO,34,26-09-20,3:36:00 PM
543096,M,32,12-09-20,10:56:00 AM
542956,F,16,18-09-20,3:46:00 PM
542937,M,22,03-10-19,7:55:00 PM
542597,OTRO,25,04-10-20,1:53:00 PM
542379,F,31,03-10-19,12:08:00 PM
542363,F,38,16-09-20,4:05:00 PM
542283,OTRO,38,27-02-20,11:23:00 AM
542218,OTRO,22,07-10-20,6:28:00 PM
541741,F,40,02-10-19,6:24:00 PM
541674,M,38,27-02-20,11:23:00 AM
541434,F,44,16-09-20,11:42:00 PM
541359,OTRO,34,23-09-20,5:15:00 PM
541347,F,52,02-10-19,2:19:00 PM
541334,OTRO,45,03-10-20,4:50:00 PM
541057,M,34,25-09-20,11:56:00 AM
541052,F,35,22-09-20,3:52:00 PM
540957,M,23,19-09-20,4:11:00 PM
540945,F,59,29-09-20,9:22:00 AM
540372,M,36,27-02-20,11:23:00 AM
540277,F,41,01-10-19,3:53:00 PM
540142,F,25,16-09-20,10:48:00 AM
539802,M,18,16-09-20,9:41:00 PM
539708,F,30,03-10-20,1:52:00 PM
539658,M,40,27-02-20,11:23:00 AM
539646,OTRO,20,20-09-20,5:42:00 PM
539452,M,21,30-09-19,7:38:00 PM
539359,F,40,16-09-20,3:32:00 PM
539355,OTRO,49,25-09-20,12:01:00 PM
539174,F,21,30-09-20,9:02:00 PM
539165,F,30,01-10-20,9:54:00 AM
